%eval_id             x1             x2         obj_fn 
       1              7             15    208.4283184 
       2    7.275408232    14.37031067    187.5669201 
       3     8.37704116    11.85155336    107.6589915 
       4             10    8.140844147    29.58104381 
       5             10     7.56983952    23.98394944 
       6             10    5.285821014    7.863138567 
       7             10     2.57526058    1.666683913 
       8    9.949964693    2.577470432    1.351386289 
       9    9.749823463     2.58630984   0.3950797303 
      10    9.457539097    2.599218827  -0.1194247867 
      11    9.451714204    2.553573832  -0.1410071124 
      12    9.428414628     2.37099385  -0.1900598731 
      13    9.420901753    2.312121505  -0.1931411226 
      14    7.780151195    1.557388084    10.71182412 
      15    9.404494248    2.304574171   -0.191047186 
      16    9.419836138     2.31163133  -0.1930949027 
      17    8.569072498    1.934754794     3.41239268 
      18    9.412383461    2.308347838  -0.1924216251 
      19     9.42012211    2.311776117  -0.1931084668 
      20    9.419881382    2.311686884  -0.1930969432 
      21     9.42074656    2.312055401  -0.1931351434 
      22     9.42087886    2.312111754  -0.1931402573 
