%eval_id             x1             x2         obj_fn 
       1              9            4.2    5.334955129 
       2    9.055791751    4.166097637    4.817525392 
       3    9.278958755    4.030488186    3.131442667 
       4    9.588256913    3.842540359    1.891306582 
       5    9.626992219    3.706205218    1.545824167 
       6    9.781933444    3.160864653   0.8542937138 
       7    9.796179816    3.110722252   0.8462098362 
       8    9.771970153    3.026641825   0.6860134743 
       9    9.675131498    2.690320118   0.1936112636 
      10    9.522704487    2.160939441 -0.09357745617 
      11    9.510702405    2.164467525  -0.1106726802 
      12    9.462694075    2.178579864  -0.1603649453 
      13    9.406915688    2.194976258  -0.1808171193 
      14    9.380012968    2.373088868  -0.1745060555 
      15    9.395462996    2.270800148  -0.1882418097 
      16    9.395722683    2.269080859  -0.1882395686 
      17    9.522243183    2.485887055   -0.129625877 
      18    9.420254464    2.312859719  -0.1931084592 
      19    9.428293539    2.326498283  -0.1929858107 
      20     9.31295008    2.180525751  -0.1230857064 
      21    9.418765111    2.311022963  -0.1930364924 
      22    9.420049205    2.312606582  -0.1931000547 
      23    9.366602272    2.246692735  -0.1744857534 
      24    9.418887831    2.311174308  -0.1930433854 
      25    9.420065647    2.312626859  -0.1931007457 
      26    9.419218023    2.311581522  -0.1930610732 
      27    9.420104423     2.31267468  -0.1931023632 
      28    9.420233261     2.31283357  -0.1931076134 
